@relation BaseImagens
@attribute h0 NUMERIC
@attribute h1 NUMERIC
@attribute h2 NUMERIC
@attribute h3 NUMERIC
@attribute h4 NUMERIC
@attribute h5 NUMERIC
@attribute h6 NUMERIC
@attribute h7 NUMERIC
@attribute h8 NUMERIC
@attribute h9 NUMERIC
@attribute h10 NUMERIC
@attribute h11 NUMERIC
@attribute h12 NUMERIC
@attribute h13 NUMERIC
@attribute h14 NUMERIC
@attribute h15 NUMERIC
@attribute h16 NUMERIC
@attribute h17 NUMERIC
@attribute h18 NUMERIC
@attribute h19 NUMERIC
@attribute h20 NUMERIC
@attribute h21 NUMERIC
@attribute h22 NUMERIC
@attribute h23 NUMERIC
@attribute h24 NUMERIC
@attribute h25 NUMERIC
@attribute h26 NUMERIC
@attribute classe {1,2,3,4,5,6,7,8,9}
@data
0.06799227,0.05273379,0.027001366,0.011924909,0.0061054705,0.004077248,0.0038536233,0.0040980503,0.0051277634,0.0074004126,0.009855082,0.02066187,0.04115732,0.053836312,0.018820867,0.027178185,0.017151484,0.034760617,0.014982846,0.027443415,0.018550437,0.03960235,0.04751762,0.07507025,0.4422826,0.88173085,0.0, 1
0.05447083,0.04914938,0.020203132,0.010806327,0.006118138,0.00529081,0.0048311837,0.005076318,0.005423591,0.007354022,0.009805363,0.018885536,0.03181636,0.053806927,0.017292166,0.024298914,0.012440554,0.029610151,0.009621512,0.021469658,0.016270773,0.03927252,0.042071134,0.0683924,0.4728534,0.8690309,0.0, 1
0.05433011,0.051359013,0.01816253,0.010236108,0.006404129,0.005616736,0.0046508675,0.0055327476,0.0072335163,0.010719042,0.013805622,0.026267428,0.04917531,0.06782077,0.022981374,0.027653238,0.015401405,0.032608565,0.011737403,0.023495805,0.017007686,0.040681966,0.044135995,0.067810275,0.441066,0.8828774,0.0, 1
0.055536605,0.041580882,0.027503842,0.02019116,0.016134487,0.015173697,0.013659724,0.013810151,0.014887401,0.019278893,0.025295965,0.035364855,0.044526335,0.057768743,0.022709595,0.027513547,0.013582084,0.033074487,0.011806078,0.022646513,0.016619736,0.042197146,0.054313783,0.10607516,0.5119024,0.83895457,0.0, 1
0.05462711,0.038982313,0.024893675,0.016041176,0.010829507,0.009620791,0.009811642,0.011108442,0.012576518,0.015639903,0.020871148,0.033516176,0.04657716,0.06600959,0.025084525,0.031485338,0.01774904,0.03740658,0.014739484,0.025686437,0.017871378,0.041492723,0.05131415,0.10398383,0.6166898,0.765308,0.0, 1
0.043440595,0.040403575,0.016769852,0.0073071923,0.004382277,0.0035109173,0.0034446735,0.0040510586,0.0050752885,0.0070829825,0.01115952,0.019944455,0.03744299,0.04926495,0.014879359,0.02335346,0.011001553,0.030594409,0.010272873,0.021218374,0.01328951,0.033611044,0.03716273,0.07186934,0.7118958,0.68893474,0.0, 1
0.042339563,0.035337005,0.014319342,0.0076659103,0.0056309775,0.0046234867,0.004259393,0.0046035363,0.0046085236,0.0068878476,0.0086235255,0.019232107,0.034758445,0.046793472,0.012079919,0.020309426,0.009276899,0.027790794,0.007895339,0.018768262,0.009920296,0.026369335,0.031990338,0.07813044,0.750127,0.64826566,0.0, 1
0.042168327,0.03796158,0.015974533,0.008131022,0.0055888165,0.004857428,0.005044058,0.005230688,0.0052609527,0.0071171657,0.010098204,0.021543171,0.039096493,0.049058508,0.014652989,0.020978238,0.01011838,0.027535513,0.008065449,0.018723544,0.009729988,0.026274499,0.031555627,0.07545406,0.698713,0.7029702,0.0, 1
0.031315867,0.028765421,0.011914616,0.0063290517,0.0044985674,0.0037691973,0.003995067,0.0040750625,0.004790316,0.0062208227,0.007740736,0.015533234,0.026516138,0.042750508,0.011999317,0.020092975,0.010347647,0.027739597,0.009510047,0.020615298,0.013740394,0.031645257,0.0305065,0.053399313,0.8752726,0.47120613,0.0, 1
0.036611263,0.03319684,0.013297011,0.006420076,0.0035394575,0.002856573,0.0027700101,0.0030008445,0.0034336585,0.004554166,0.006333513,0.013777915,0.030085389,0.04181946,0.011508046,0.020433635,0.009743126,0.028950455,0.009190086,0.020178756,0.0120995585,0.03108567,0.03169642,0.060545884,0.8290025,0.5471588,0.0, 1
